seed,model,roc_auc
24,SVM (RBF),0.9509132420091324
24,XGBoost,0.9562404870624048
24,Elastic-Net LR,0.9558599695585996
24,Gaussian NB,0.9570015220700152
24,KNN,0.9330289193302892
24,CatBoost,0.9604261796042618
24,Stacking Ensemble,0.9581430745814308
25,Logistic Regression,0.9086757990867581
25,Random Forest,0.9071537290715372
25,SVM (RBF),0.8885083713850838
25,XGBoost,0.8964992389649924
25,Elastic-Net LR,0.908675799086758
25,Gaussian NB,0.9159056316590564
25,KNN,0.88603500761035
25,CatBoost,0.8964992389649924
25,Stacking Ensemble,0.9052511415525114
26,Logistic Regression,0.9550989345509893
26,Random Forest,0.9394977168949772
26,SVM (RBF),0.9463470319634704
26,XGBoost,0.9471080669710807
26,Elastic-Net LR,0.9547184170471842
26,Gaussian NB,0.9661339421613393
26,KNN,0.9512937595129376
26,CatBoost,0.9471080669710807
26,Stacking Ensemble,0.9493911719939117
27,Logistic Regression,0.9653729071537291
27,Random Forest,0.9764079147640792
27,SVM (RBF),0.9535768645357686
27,XGBoost,0.9661339421613395
27,Elastic-Net LR,0.964992389649924
27,Gaussian NB,0.9547184170471841
27,KNN,0.9505327245053272
27,CatBoost,0.974124809741248
27,Stacking Ensemble,0.9684170471841704
28,Logistic Regression,0.8854642313546424
28,Random Forest,0.9117199391171994
28,SVM (RBF),0.8835616438356164
28,XGBoost,0.904109589041096
28,Elastic-Net LR,0.8850837138508372
28,Gaussian NB,0.8995433789954338
28,KNN,0.8793759512937596
28,CatBoost,0.8873668188736682
28,Stacking Ensemble,0.9018264840182648
29,Logistic Regression,0.9322678843226788
29,Random Forest,0.9269406392694064
29,SVM (RBF),0.9452054794520548
29,XGBoost,0.9288432267884322
29,Elastic-Net LR,0.9296042617960427
29,Gaussian NB,0.9353120243531202
29,KNN,0.9387366818873668
29,CatBoost,0.9334094368340944
29,Stacking Ensemble,0.9410197869101978
